FOOD_CODE,NUTRIENT,QUANTITY
11310,001,-99
11310,005,-88
11310,008,51
11310,009,123
11310,011,56.7
11310,012,0
11310,013,260
11310,015,0.1
11310,020,1.6
11349,001,0
11349,005,250
11349,008,190
11349,009,253
11349,011,24.8
11349,012,16
11349,013,940
11349,015,0.12
11349,017,26
11349,019,15
11349,020,1.5
11350,001,0
11350,005,250
11350,008,180
11350,009,255
11350,011,32.9
11350,012,26
11350,013,910
11350,015,0.11
11350,017,26
11350,019,15
11350,020,1.5
12001,001,0
12001,005,-99
12001,008,120
12001,009,-99
12001,011,5
12001,012,2
12001,013,100
12001,015,-99
12001,020,0
12008,001,0
12008,005,9
12008,008,120
12008,009,9
12008,011,5
12008,012,7
12008,013,100
12008,015,-99
12008,020,0
12012,001,0
12012,005,21
12012,008,115
12012,009,21
12012,011,4.8
12012,012,14
12012,013,100
12012,015,-99
12012,020,0
12018,001,0
12018,005,71
12018,008,130
12018,009,71
12018,011,4.8
12018,012,16
12018,013,100
12018,015,-99
12018,020,0
12024,001,0
12024,005,-99
12024,008,170
12024,009,-99
12024,011,6.2
12024,012,6
12024,013,-88
12024,015,-99
12024,020,0
12027,001,0
12027,005,200
12027,008,4
12027,009,200
12027,011,57.3
12027,012,2
12027,013,-88
12027,015,-88
12027,020,0
12037,001,0
12037,005,-99
12037,008,100
12037,009,-99
12037,011,4.4
12037,012,10
12037,013,150
12037,015,0.03
12037,020,0
12041,001,0
12041,005,-99
12041,008,170
12041,009,-99
12041,011,5.1
12041,012,11
12041,013,82
12041,015,0.1
12041,017,0
12041,019,0
12041,020,0
12042,001,0
12042,005,-99
12042,008,13
12042,009,-99
12042,011,0.8
12042,012,0
12042,013,15
12042,015,0.06
12042,020,-99
12097,001,0
12097,005,0
12097,008,430
12097,009,0
12097,011,78
12097,012,-88
12097,013,-88
12097,015,0.3
12097,020,0
12108,001,0
12108,005,-99
12108,008,83
12108,009,-99
12108,011,79.4
12108,012,-88
12108,013,210
12108,015,1
12108,020,0
12113,001,0
12113,005,125
12113,008,91
12113,009,125
12113,011,4.1
12113,012,55
12113,013,80
12113,015,-99
12113,020,0
12116,001,0
12116,005,325
12116,008,50
12116,009,325
12116,011,2.7
12116,012,130
12116,013,51
12116,015,-99
12116,020,0
12130,001,0
12130,005,6
12130,008,160
12130,009,6
12130,011,8.5
12130,012,-99
12130,013,-88
12130,015,-88
12130,020,-99
12131,001,0
12131,005,210
12131,008,540
12131,009,210
12131,011,-99
12131,012,100
12131,013,1060
12131,015,-99
12131,020,0
12134,001,0
12134,005,225
12134,008,720
12134,009,225
12134,011,0.1
12134,012,100
12134,013,1030
12134,015,0.03
12134,020,0
12147,001,0
12147,005,10
12147,008,73
12147,009,10
12147,011,2.1
12147,012,13
12147,013,550
12147,015,0.04
12147,020,0
12154,001,0
12154,005,150
12154,008,770
12154,009,150
12154,011,-99
12154,012,80
12154,013,1570
12154,015,0.05
12154,020,0
12160,001,0
12160,005,0
12160,008,87
12160,009,-88
12160,011,6.8
12160,012,1
12160,013,89
12160,015,0.01
12160,020,0
12185,001,0
12185,005,16
12185,008,160
12185,009,16
12185,011,15.7
12185,012,10
12185,013,150
12185,015,-99
12185,020,0
12188,001,0
12188,005,5
12188,008,190
12188,009,5
12188,011,7.5
12188,012,4
12188,013,150
12188,015,-99
12188,020,0
12190,001,0
12190,005,4
12190,008,150
12190,009,4
12190,011,17.9
12190,012,4
12190,013,130
12190,015,-99
12190,020,0
12194,001,0
12194,005,36
12194,008,150
12194,009,36
12194,011,2
12194,012,-88
12194,013,100
12194,015,-99
12194,020,0
12200,001,0
12200,005,5
12200,008,130
12200,009,5
12200,011,28.1
12200,012,7
12200,013,-88
12200,015,-99
12200,020,0
12204,001,0
12204,005,195
12204,008,130
12204,009,195
12204,011,24.4
12204,012,31
12204,013,110
12204,015,0.02
12204,020,0
12206,001,0
12206,005,6
12206,008,120
12206,009,6
12206,011,23.1
12206,012,7
12206,013,130
12206,015,-99
12206,020,0
12220,001,0
12220,005,11
12220,008,94
12220,009,11
12220,011,20.6
12220,012,-88
12220,013,100
12220,015,-99
12220,020,0
12247,001,0
12247,005,6
12247,008,93
12247,009,6
12247,011,21
12247,012,4
12247,013,110
12247,015,0.04
12247,020,0
12248,001,0
12248,005,23
12248,008,93
12248,009,23
12248,011,14
12248,012,9
12248,013,95
12248,015,0.03
12248,020,0.1
12250,001,-99
12250,005,-88
12250,008,49
12250,009,115
12250,011,20.6
12250,012,20
12250,013,45
12250,015,0.04
12250,020,0.2
12283,008,260
12283,011,17.3
12283,012,140
12283,013,530
12283,015,0.06
12283,020,0.7
12285,008,230
12285,011,19.8
12285,012,140
12285,013,1260
12285,015,0.11
12285,020,0.7
12801,001,0
12801,005,-99
12801,008,57
12801,009,-99
12801,011,-99
12801,012,385
12801,013,160
12801,015,0.08
12801,020,0
13013,001,0
13013,005,-88
13013,008,5
13013,009,-99
13013,011,17
13013,012,0
13013,013,160
13013,015,0.07
13013,020,1.2
13022,001,0
13022,005,-88
13022,008,11
13022,009,-99
13022,011,30.5
13022,012,-88
13022,013,120
13022,015,0.14
13022,020,2.2
13043,001,-99
13043,005,31
13043,008,48
13043,009,31
13043,011,15.1
13043,012,0
13043,013,810
13043,015,0.04
13043,017,10.6
13043,019,0
13043,020,3.5
13045,001,-99
13045,005,31
13045,008,55
13045,009,31
13045,011,12.8
13045,012,0
13045,013,840
13045,015,0.03
13045,020,3.8
13046,001,-99
13046,005,31
13046,008,45
13046,009,31
13046,011,12.5
13046,012,0
13046,013,480
13046,015,0.1
13046,020,3.8
13052,001,20
13052,005,20
13052,008,20
13052,009,40
13052,011,4
13052,012,0
13052,013,15
13052,015,0.08
13052,020,1.5
13065,001,8
13065,005,358
13065,008,18
13065,009,362
13065,011,5.6
13065,012,0
13065,013,120
13065,015,0.13
13065,017,18.6
13065,019,1.8
13065,020,5.4
13082,001,39
13082,005,310
13082,008,34
13082,009,330
13082,011,2.9
13082,012,0
13082,013,93
13082,015,0.02
13082,017,9.5
13082,019,1.2
13082,020,2.4
13092,001,0
13092,005,20
13092,008,16
13092,009,20
13092,011,17.5
13092,012,0
13092,013,20
13092,015,0.19
13092,020,1.9
13113,001,4
13113,005,496
13113,008,22
13113,009,498
13113,011,2.3
13113,012,0
13113,013,160
13113,015,0.01
13113,020,1.9
13119,001,0
13119,005,-88
13119,008,510
13119,009,2
13119,011,0.7
13119,012,0
13119,013,16
13119,015,0.2
13119,020,-88
13133,001,27
13133,005,390
13133,008,35
13133,009,404
13133,011,9.7
13133,012,0
13133,013,120
13133,015,0.03
13133,017,22
13133,019,4.4
13133,020,5.1
13135,001,16
13135,005,440
13135,008,30
13135,009,448
13135,011,13.5
13135,012,0
13135,013,360
13135,015,0.02
13135,020,5.1
13142,001,3
13142,005,47
13142,008,11
13142,009,49
13142,011,22.7
13142,012,0
13142,013,10
13142,015,0.06
13142,020,2.7
13166,001,0
13166,005,0
13166,008,19
13166,009,-99
13166,011,5.6
13166,012,0
13166,013,210
13166,015,0.04
13166,020,1.7
13171,001,0
13171,005,1125
13171,008,40
13171,009,1125
13171,011,1.1
13171,012,0
13171,013,180
13171,015,0.02
13171,017,34.9
13171,019,7.7
13171,020,2.3
13178,001,0
13178,005,411
13178,008,20
13178,009,411
13178,011,3.5
13178,012,0
13178,013,130
13178,015,0.03
13178,017,34.8
13178,019,8
13178,020,3.1
13193,001,0
13193,005,240
13193,008,37
13193,009,240
13193,011,2.2
13193,012,0
13193,013,210
13193,015,0.03
13193,020,2
13195,001,0
13195,005,33
13195,008,27
13195,009,33
13195,011,1.8
13195,012,0
13195,013,180
13195,015,0.01
13195,020,1.5
13197,001,0
13197,005,33
13197,008,26
13197,009,33
13197,011,2.2
13197,012,0
13197,013,200
13197,015,0.01
13197,020,1.5
13201,001,2260
13201,005,6430
13201,008,24
13201,009,7560
13201,011,4.9
13201,012,0
13201,013,160
13201,015,0.01
13201,017,8.9
13201,019,1.8
13201,020,2.5
13204,001,1465
13204,005,3615
13204,008,30
13204,009,4425
13204,011,4.4
13204,012,0
13204,013,73
13204,015,0.02
13204,017,8.9
13204,019,1.8
13204,020,2.3
13216,001,0
13216,005,7
13216,008,17
13216,009,7
13216,011,2.1
13216,012,0
13216,013,150
13216,015,0.02
13216,017,23
13216,019,8
13216,020,1.6
13221,001,0
13221,005,2900
13221,008,41
13221,009,2900
13221,011,0.9
13221,012,0
13221,013,130
13221,015,0.01
13221,020,1.1
13231,001,0
13231,005,450
13231,008,19
13231,009,500
13231,011,2
13231,012,0
13231,013,26
13231,015,0.01
13231,020,1.2
13233,001,-99
13233,005,222
13233,008,18
13233,009,222
13233,011,1.5
13233,012,0
13233,013,17
13233,015,0.01
13233,020,0.6
13244,001,0
13244,005,-88
13244,008,19
13244,009,-99
13244,011,16.3
13244,012,0
13244,013,73
13244,015,0.06
13244,020,4.1
13264,001,0
13264,005,70
13264,008,20
13264,009,70
13264,011,2.6
13264,012,0
13264,013,130
13264,015,0.02
13264,017,7.3
13264,019,0.6
