MEAL_ID,FOOD_CODE,PORTION,WEIGHT
1,18005,16.00,1
1,18005,8.00,2
1,18005,0.00,3
1,18005,0.00,4
1,18005,0.00,5

3,18205,23.00,1
3,18205,11.50,2
3,18205,0.00,3
3,18205,0.00,4
3,18205,0.00,5

4,18100,30.00,1
4,18100,15.00,2
4,18100,0.00,3
4,18100,0.00,4
4,18100,0.00,5

4,18100,30.00,1
4,18100,15.00,2
4,18100,0.00,3
4,18100,0.00,4
4,18100,0.00,5

6,339,19.00,1
6,339,9.50,2
6,339,0.00,3
6,339,0.00,4
6,339,0.00,5

7,339,13.00,1
7,339,6.50,2
7,339,0.00,3
7,339,0.00,4
7,339,0.00,5


